inbound_id,inbound_date,po_no,item_code,vendor_code,inbound_qty
INB-00059,2026-06-14,PO-1220,ITM-033,V011,12
INB-00060,2026-06-15,PO-1163,ITM-012,V009,172
INB-00061,2026-06-12,PO-MISS-489,ITM-X144,V014,48
INB-00062,2026-06-14,PO-1203,ITM-015,V018,64
INB-00063,2026-06-12,PO-1239,ITM-059,V011,34
INB-00064,2026-06-15,PO-1309,ITM-015,V003,121
INB-00065,2026-06-15,PO-1226,ITM-063,V004,77
INB-00066,2026-06-14,PO-1346,ITM-055,V016,150
INB-00067,2026-06-12,PO-1114,ITM-064,V013,67
INB-00068,2026-06-14,PO-1340,ITM-019,V021,16
INB-00069,2026-06-12,PO-1111,ITM-026,V005,-15
INB-00070,2026-06-14,PO-1154,ITM-039,V022,21
INB-00071,2026-06-15,PO-1165,ITM-004,V016,251
INB-00072,2026-06-14,PO-1221,ITM-066,V001,61
INB-00073,2026-06-14,PO-1061,ITM-039,V015,14
INB-00074,2026-06-13,PO-1207,ITM-060,V023,57
INB-00075,2026-06-13,PO-1124,ITM-057,V003,123
INB-00076,2026-06-13,PO-1026,ITM-068,V020,314
INB-00077,2026-06-14,PO-1162,ITM-076,V009,256
INB-00078,2026-06-15,PO-1014,ITM-069,V009,194
INB-00079,2026-06-13,PO-1336,ITM-080,V020,251
INB-00080,2026-06-12,PO-1101,ITM-052,V023,135
INB-00081,2026-06-15,PO-1226,ITM-063,V990,34
INB-00082,2026-06-14,PO-1343,ITM-040,V011,136
INB-00083,2026-06-12,PO-MISS-849,ITM-029,V001,4
INB-00084,2026-06-13,PO-1208,ITM-035,V017,294
INB-00085,2026-06-13,PO-1135,ITM-056,V016,11
INB-00086,2026-06-14,PO-1204,ITM-020,V009,67
INB-00087,2026-06-15,PO-1334,ITM-072,V012,15
INB-00088,2026-06-13,PO-1259,ITM-031,V016,92
INB-00089,2026-06-15,PO-1015,ITM-038,V014,166
INB-00090,2026-06-15,PO-1226,ITM-063,V004,18
INB-00091,2026-06-12,PO-1201,ITM-010,V022,117
INB-00092,2026-06-13,PO-1066,ITM-070,V023,132
INB-00093,2026-06-15,PO-1212,ITM-035,V972,30
INB-00094,2026-06-12,PO-1176,ITM-035,V010,144
INB-00095,2026-06-15,PO-1336,ITM-080,V020,20
INB-00096,2026-06-12,PO-1158,ITM-014,V014,102
INB-00097,2026-06-14,PO-1284,ITM-049,V021,210
INB-00098,2026-06-12,PO-1294,ITM-005,V023,191
INB-00099,2026-06-13,PO-1344,ITM-020,V006,38
INB-00100,2026-06-12,PO-1030,ITM-029,V003,12
INB-00101,2026-06-15,PO-1227,ITM-078,V008,45
INB-00102,2026-06-12,PO-1014,ITM-069,V009,139
INB-00103,2026-06-12,PO-1038,ITM-013,V022,194
INB-00104,2026-06-12,PO-1347,ITM-035,V007,242
INB-00105,2026-06-12,PO-1184,ITM-071,V010,137
INB-00106,2026-06-13,PO-1214,ITM-024,V019,197
INB-00107,2026-06-13,PO-1128,ITM-009,V014,282
INB-00108,2026-06-14,PO-1322,ITM-059,V013,229
INB-00109,2026-06-15,PO-1136,ITM-044,V022,115
INB-00110,2026-06-15,PO-1124,ITM-057,V003,82
INB-00111,2026-06-13,PO-1238,ITM-043,V018,179
INB-00112,2026-06-12,PO-1019,ITM-048,V006,92
INB-00113,2026-06-15,PO-1221,ITM-066,V001,271
INB-00114,2026-06-13,PO-1118,ITM-059,V005,115
INB-00115,2026-06-12,PO-1116,ITM-023,V023,12
INB-00116,2026-06-14,PO-1196,ITM-028,V009,30
INB-00117,2026-06-15,PO-1136,ITM-044,V022,137
INB-00118,2026-06-15,PO-1089,ITM-043,V009,53
INB-00119,2026-06-13,PO-1299,ITM-028,V021,8
INB-00120,2026-06-15,PO-1338,ITM-040,V011,89
INB-00121,2026-06-13,PO-1211,ITM-012,V008,9
INB-00122,2026-06-13,PO-1053,ITM-062,V904,58
INB-00123,2026-06-15,PO-1029,ITM-067,V015,79
INB-00124,2026-06-12,PO-1233,ITM-025,V020,124
INB-00125,2026-06-13,PO-1321,ITM-058,V008,18
INB-00126,2026-06-12,PO-1109,ITM-066,V022,153
INB-00127,2026-06-12,PO-1230,ITM-020,V016,115
INB-00128,2026-06-12,PO-1232,ITM-032,V015,32
INB-00129,2026-06-12,PO-1046,ITM-022,V014,206
INB-00130,2026-06-15,PO-1249,ITM-069,V969,60
INB-00131,2026-06-13,PO-1061,ITM-039,V015,87
INB-00132,2026-06-13,PO-1196,ITM-028,V009,33
INB-00133,2026-06-14,PO-1226,ITM-063,V004,15
INB-00134,2026-06-14,PO-1115,ITM-001,V004,148
INB-00135,2026-06-14,PO-1045,ITM-070,V001,31
INB-00136,2026-06-14,PO-1273,ITM-013,V021,-17
INB-00137,2026-06-13,PO-1332,ITM-065,V007,53
INB-00138,2026-06-14,PO-1350,ITM-040,V002,71
INB-00139,2026-06-12,PO-1320,ITM-015,V021,45
INB-00140,2026-06-15,PO-1033,ITM-008,V008,36
INB-00141,2026-06-15,PO-1235,ITM-065,V009,2
INB-00142,2026-06-14,PO-1178,ITM-069,V985,83
INB-00143,2026-06-15,PO-1007,ITM-075,V014,202
INB-00144,2026-06-14,PO-1109,ITM-066,V022,179
INB-00145,2026-06-15,PO-1333,ITM-062,V008,53
INB-00146,2026-06-13,PO-1120,ITM-079,V017,77
INB-00147,2026-06-15,PO-1269,ITM-002,V019,-18
INB-00148,2026-06-15,PO-1068,ITM-014,V005,62
INB-00149,2026-06-13,PO-1350,ITM-040,V002,77
INB-00150,2026-06-13,PO-1055,ITM-009,V020,52
INB-00151,2026-06-15,PO-1104,ITM-073,V010,299
INB-00152,2026-06-15,PO-1276,ITM-023,V007,54
INB-00153,2026-06-13,PO-1178,ITM-069,V023,50
INB-00154,2026-06-13,PO-1189,ITM-063,V003,17
INB-00155,2026-06-13,PO-1259,ITM-031,V016,104
INB-00156,2026-06-15,PO-1185,ITM-063,V004,12
INB-00157,2026-06-12,PO-1232,ITM-032,V015,69
INB-00158,2026-06-13,PO-1307,ITM-042,V001,7
INB-00159,2026-06-14,PO-1217,ITM-014,V006,97
INB-00160,2026-06-12,PO-1210,ITM-042,V020,19
INB-00161,2026-06-13,PO-1054,ITM-X742,V017,137
INB-00162,2026-06-13,PO-1064,ITM-017,V012,31
INB-00163,2026-06-13,PO-1243,ITM-005,V005,171
INB-00164,2026-06-14,PO-1219,ITM-005,V015,2
INB-00165,2026-06-13,PO-1316,ITM-X986,V005,13
INB-00166,2026-06-12,PO-1253,ITM-013,V015,96
INB-00167,2026-06-15,PO-1226,ITM-063,V004,77
INB-00168,2026-06-13,PO-MISS-938,ITM-009,V014,102
INB-00169,2026-06-13,PO-1252,ITM-012,V014,42
INB-00170,2026-06-14,PO-1340,ITM-019,V021,25
INB-00171,2026-06-15,PO-1214,ITM-024,V019,289
INB-00172,2026-06-14,PO-1264,ITM-039,V021,67
INB-00173,2026-06-14,PO-1275,ITM-012,V010,132
INB-00174,2026-06-15,PO-1082,ITM-020,V008,60
INB-00175,2026-06-12,PO-1084,ITM-053,V022,188
INB-00176,2026-06-13,PO-1151,ITM-040,V004,31
INB-00177,2026-06-14,PO-1275,ITM-X047,V010,106
INB-00178,2026-06-13,PO-1317,ITM-036,V020,303
INB-00179,2026-06-14,PO-1068,ITM-014,V005,142
INB-00180,2026-06-15,PO-1238,ITM-X157,V018,152
INB-00181,2026-06-13,PO-1212,ITM-035,V972,194
INB-00182,2026-06-15,PO-1155,ITM-006,V012,292
INB-00183,2026-06-13,PO-1270,ITM-064,V010,128
INB-00184,2026-06-14,PO-1273,ITM-013,V021,17
INB-00185,2026-06-15,PO-1177,ITM-016,V007,165
INB-00186,2026-06-15,PO-1147,ITM-020,V008,59
INB-00187,2026-06-13,PO-1057,ITM-032,V019,23
INB-00188,2026-06-13,PO-1070,ITM-037,V020,-18
INB-00189,2026-06-15,PO-1212,ITM-035,V019,12
INB-00190,2026-06-12,PO-1306,ITM-002,V012,135
INB-00191,2026-06-12,PO-1019,ITM-048,V006,39
INB-00192,2026-06-12,PO-1169,ITM-031,V014,4
INB-00193,2026-06-15,PO-1130,ITM-027,V014,36
INB-00194,2026-06-13,PO-1328,ITM-072,V018,208
INB-00195,2026-06-12,PO-1249,ITM-069,V013,56
INB-00196,2026-06-15,PO-1181,ITM-025,V010,144
INB-00197,2026-06-15,PO-1044,ITM-X017,V015,63
INB-00198,2026-06-12,PO-1030,ITM-029,V003,137
INB-00199,2026-06-15,PO-1057,ITM-032,V019,1
INB-00200,2026-06-12,PO-1158,ITM-014,V014,241
INB-00201,2026-06-14,PO-1180,ITM-068,V020,5
INB-00202,2026-06-15,PO-1291,ITM-050,V015,207
INB-00203,2026-06-13,PO-1033,ITM-008,V912,7
INB-00204,2026-06-13,PO-1319,ITM-059,V017,62
INB-00205,2026-06-13,PO-1286,ITM-072,V011,65
INB-00206,2026-06-14,PO-1310,ITM-047,V017,-13
INB-00207,2026-06-12,PO-1326,ITM-012,V014,-13
INB-00208,2026-06-15,PO-1146,ITM-032,V007,62
INB-00209,2026-06-13,PO-1139,ITM-055,V005,154
INB-00210,2026-06-12,PO-1131,ITM-003,V019,168
INB-00211,2026-06-12,PO-1136,ITM-044,V022,24
INB-00212,2026-06-15,PO-1029,ITM-067,V015,130
INB-00213,2026-06-15,PO-1079,ITM-006,V010,15
INB-00214,2026-06-12,PO-1112,ITM-032,V016,45
INB-00215,2026-06-13,PO-1035,ITM-036,V022,43
INB-00216,2026-06-15,PO-1251,ITM-009,V008,210
INB-00217,2026-06-12,PO-1118,ITM-059,V005,22
INB-00218,2026-06-13,PO-1052,ITM-041,V002,14
INB-00219,2026-06-15,PO-1014,ITM-069,V009,70
INB-00220,2026-06-12,PO-1322,ITM-059,V013,20
INB-00221,2026-06-14,PO-1166,ITM-063,V007,-19
INB-00222,2026-06-12,PO-MISS-952,ITM-050,V015,46
INB-00223,2026-06-14,PO-MISS-985,ITM-062,V004,5
INB-00224,2026-06-13,PO-1165,ITM-004,V016,151
INB-00225,2026-06-13,PO-1216,ITM-X841,V011,183
INB-00226,2026-06-15,PO-MISS-307,ITM-049,V020,40
INB-00227,2026-06-13,PO-1007,ITM-075,V014,145
INB-00228,2026-06-13,PO-1076,ITM-002,V004,37
INB-00229,2026-06-15,PO-1053,ITM-062,V017,277
INB-00230,2026-06-14,PO-1330,ITM-055,V002,99
INB-00231,2026-06-13,PO-1214,ITM-024,V019,203
INB-00232,2026-06-12,PO-1149,ITM-033,V012,65
INB-00233,2026-06-14,PO-1272,ITM-033,V022,7
INB-00234,2026-06-12,PO-1084,ITM-053,V022,112
INB-00235,2026-06-13,PO-1066,ITM-070,V023,132
INB-00236,2026-06-14,PO-1084,ITM-053,V022,102
INB-00237,2026-06-14,PO-MISS-650,ITM-057,V002,4
INB-00238,2026-06-14,PO-1218,ITM-064,V010,201
INB-00239,2026-06-15,PO-1242,ITM-050,V022,1
INB-00240,2026-06-13,PO-1293,ITM-013,V016,92
INB-00241,2026-06-15,PO-1175,ITM-071,V011,-6
INB-00242,2026-06-15,PO-1188,ITM-062,V004,6
INB-00243,2026-06-14,PO-1222,ITM-053,V002,148
INB-00244,2026-06-12,PO-1202,ITM-076,V022,11
INB-00245,2026-06-14,PO-1252,ITM-012,V014,20
INB-00246,2026-06-15,PO-1102,ITM-017,V007,255
INB-00247,2026-06-15,PO-1001,ITM-072,V008,82
INB-00248,2026-06-14,PO-1124,ITM-057,V003,28
INB-00249,2026-06-12,PO-1200,ITM-037,V023,2
INB-00250,2026-06-14,PO-1066,ITM-070,V023,114
INB-00251,2026-06-14,PO-1234,ITM-009,V009,195
INB-00252,2026-06-14,PO-1184,ITM-071,V010,14
INB-00253,2026-06-13,PO-1127,ITM-050,V023,12
INB-00254,2026-06-13,PO-MISS-460,ITM-072,V012,56
INB-00255,2026-06-15,PO-1191,ITM-032,V911,237
INB-00256,2026-06-14,PO-1276,ITM-X096,V007,71
INB-00257,2026-06-14,PO-1178,ITM-069,V023,111
INB-00258,2026-06-15,PO-1008,ITM-029,V937,7
INB-00259,2026-06-15,PO-1306,ITM-002,V012,100
INB-00260,2026-06-12,PO-1016,ITM-001,V009,125
INB-00261,2026-06-13,PO-1136,ITM-044,V022,176
INB-00262,2026-06-15,PO-1131,ITM-003,V019,44
INB-00263,2026-06-13,PO-1262,ITM-X309,V022,138
INB-00264,2026-06-14,PO-1125,ITM-035,V011,127
INB-00265,2026-06-13,PO-1024,ITM-069,V005,9
INB-00266,2026-06-13,PO-1085,ITM-021,V023,56
INB-00267,2026-06-14,PO-1230,ITM-020,V016,108
INB-00268,2026-06-14,PO-1037,ITM-061,V014,62
INB-00269,2026-06-12,PO-MISS-967,ITM-020,V009,125
INB-00270,2026-06-13,PO-1265,ITM-059,V010,93
INB-00271,2026-06-15,PO-1047,ITM-028,V013,129
INB-00272,2026-06-13,PO-1124,ITM-X110,V003,118
INB-00273,2026-06-13,PO-1119,ITM-X972,V018,183
INB-00274,2026-06-15,PO-1225,ITM-071,V005,86
INB-00275,2026-06-15,PO-1291,ITM-050,V015,-11
INB-00276,2026-06-15,PO-1240,ITM-074,V013,86
INB-00277,2026-06-15,PO-1344,ITM-020,V006,122
INB-00278,2026-06-13,PO-1168,ITM-002,V017,39
INB-00279,2026-06-14,PO-1064,ITM-017,V012,81
INB-00280,2026-06-15,PO-1048,ITM-049,V001,81
INB-00281,2026-06-13,PO-1251,ITM-009,V008,102
INB-00282,2026-06-14,PO-1331,ITM-040,V994,38
INB-00283,2026-06-15,PO-1013,ITM-002,V022,74
INB-00284,2026-06-13,PO-1151,ITM-040,V004,31
INB-00285,2026-06-15,PO-1277,ITM-047,V017,144
INB-00286,2026-06-15,PO-1311,ITM-X117,V008,24
INB-00287,2026-06-13,PO-1111,ITM-026,V005,12
INB-00288,2026-06-12,PO-1109,ITM-066,V022,-15
INB-00289,2026-06-13,PO-1140,ITM-007,V009,113
INB-00290,2026-06-14,PO-1286,ITM-072,V011,18
INB-00291,2026-06-15,PO-1166,ITM-063,V007,173
INB-00292,2026-06-15,PO-1013,ITM-002,V022,-10
INB-00293,2026-06-13,PO-1227,ITM-078,V008,33
INB-00294,2026-06-13,PO-1101,ITM-052,V023,109
INB-00295,2026-06-15,PO-1302,ITM-028,V008,19
INB-00296,2026-06-15,PO-1017,ITM-065,V004,154
INB-00297,2026-06-15,PO-1230,ITM-020,V016,221
INB-00298,2026-06-15,PO-1096,ITM-006,V023,140
INB-00299,2026-06-12,PO-1280,ITM-019,V008,270
INB-00300,2026-06-12,PO-1153,ITM-026,V003,28
INB-00301,2026-06-13,PO-1141,ITM-028,V015,233
INB-00302,2026-06-13,PO-1154,ITM-039,V022,79
INB-00303,2026-06-12,PO-1335,ITM-074,V008,145
INB-00304,2026-06-15,PO-1119,ITM-X989,V018,85
INB-00305,2026-06-15,PO-1161,ITM-069,V016,75
INB-00306,2026-06-12,PO-1208,ITM-035,V017,294
INB-00307,2026-06-14,PO-1129,ITM-070,V015,57
INB-00308,2026-06-13,PO-1280,ITM-019,V008,115
INB-00309,2026-06-14,PO-MISS-475,ITM-041,V014,201
INB-00310,2026-06-13,PO-1029,ITM-067,V015,45
INB-00311,2026-06-12,PO-1102,ITM-017,V913,140
INB-00312,2026-06-14,PO-1269,ITM-002,V910,36
INB-00313,2026-06-12,PO-1349,ITM-076,V016,73
INB-00314,2026-06-14,PO-1064,ITM-X352,V958,20
INB-00315,2026-06-13,PO-1103,ITM-049,V022,67
INB-00316,2026-06-15,PO-1036,ITM-070,V005,179
INB-00317,2026-06-15,PO-1115,ITM-001,V004,25
INB-00318,2026-06-15,PO-1104,ITM-073,V010,185
INB-00319,2026-06-15,PO-1157,ITM-X069,V001,82
INB-00320,2026-06-14,PO-1252,ITM-012,V014,6
INB-00321,2026-06-12,PO-1059,ITM-034,V943,6
INB-00322,2026-06-12,PO-1156,ITM-048,V003,85
INB-00323,2026-06-13,PO-1157,ITM-044,V001,133
INB-00324,2026-06-13,PO-1255,ITM-038,V012,232
INB-00325,2026-06-14,PO-1320,ITM-015,V021,110
INB-00326,2026-06-15,PO-1216,ITM-053,V011,236
INB-00327,2026-06-13,PO-1153,ITM-026,V003,48
INB-00328,2026-06-15,PO-1224,ITM-057,V002,128
INB-00329,2026-06-13,PO-MISS-440,ITM-022,V009,342
INB-00330,2026-06-15,PO-1021,ITM-003,V004,2
INB-00331,2026-06-13,PO-1235,ITM-065,V009,57
INB-00332,2026-06-12,PO-1143,ITM-011,V016,19
INB-00333,2026-06-12,PO-1180,ITM-068,V923,138
INB-00334,2026-06-14,PO-1263,ITM-010,V015,84
INB-00335,2026-06-13,PO-1056,ITM-031,V013,96
INB-00336,2026-06-14,PO-1011,ITM-009,V013,172
INB-00337,2026-06-15,PO-1298,ITM-025,V004,136
INB-00338,2026-06-14,PO-1238,ITM-043,V978,199
INB-00339,2026-06-15,PO-1154,ITM-039,V022,76
INB-00340,2026-06-12,PO-1045,ITM-070,V001,45
INB-00341,2026-06-14,PO-1061,ITM-039,V015,14
INB-00342,2026-06-15,PO-1226,ITM-063,V004,12
INB-00343,2026-06-14,PO-1127,ITM-050,V023,79
INB-00344,2026-06-12,PO-1151,ITM-X981,V004,13
INB-00345,2026-06-14,PO-1012,ITM-060,V017,-8
INB-00346,2026-06-14,PO-MISS-489,ITM-X144,V014,48
INB-00347,2026-06-13,PO-1158,ITM-014,V014,96
INB-00348,2026-06-13,PO-1130,ITM-027,V014,131
INB-00349,2026-06-15,PO-1156,ITM-048,V003,215
INB-00350,2026-06-13,PO-1027,ITM-070,V023,74
INB-00351,2026-06-15,PO-1049,ITM-059,V010,109
INB-00352,2026-06-13,PO-1129,ITM-070,V981,125
INB-00353,2026-06-13,PO-1111,ITM-026,V005,11
INB-00354,2026-06-15,PO-1098,ITM-056,V003,74
INB-00355,2026-06-13,PO-1337,ITM-035,V001,24
INB-00356,2026-06-14,PO-1010,ITM-021,V022,216
INB-00357,2026-06-15,PO-1066,ITM-070,V023,159
INB-00358,2026-06-12,PO-1182,ITM-023,V010,12
INB-00359,2026-06-12,PO-1320,ITM-015,V021,125
INB-00360,2026-06-13,PO-1042,ITM-069,V015,25
INB-00361,2026-06-15,PO-1272,ITM-X518,V022,72
INB-00362,2026-06-15,PO-1247,ITM-061,V009,105
INB-00363,2026-06-15,PO-1076,ITM-002,V004,27
INB-00364,2026-06-15,PO-1215,ITM-063,V003,251
INB-00365,2026-06-13,PO-1243,ITM-005,V903,350
INB-00366,2026-06-13,PO-1350,ITM-040,V002,75
INB-00367,2026-06-12,PO-1071,ITM-027,V022,71
INB-00368,2026-06-13,PO-1048,ITM-049,V001,138
INB-00369,2026-06-14,PO-1026,ITM-X800,V020,44
INB-00370,2026-06-15,PO-MISS-761,ITM-039,V015,145
INB-00371,2026-06-15,PO-1250,ITM-063,V018,36
INB-00372,2026-06-12,PO-1272,ITM-033,V022,43
INB-00373,2026-06-14,PO-1284,ITM-049,V021,-18
INB-00374,2026-06-14,PO-1339,ITM-024,V005,139
INB-00375,2026-06-12,PO-1346,ITM-055,V016,195
INB-00376,2026-06-15,PO-MISS-224,ITM-009,V009,140
INB-00377,2026-06-15,PO-1249,ITM-069,V013,27
INB-00378,2026-06-13,PO-1193,ITM-049,V015,77
INB-00379,2026-06-12,PO-1102,ITM-017,V007,116
INB-00380,2026-06-14,PO-1105,ITM-X883,V010,90
INB-00381,2026-06-12,PO-1056,ITM-031,V013,57
INB-00382,2026-06-12,PO-1249,ITM-069,V013,61
INB-00383,2026-06-13,PO-1246,ITM-053,V021,175
INB-00384,2026-06-14,PO-1061,ITM-039,V015,157
INB-00385,2026-06-15,PO-1127,ITM-050,V023,22
INB-00386,2026-06-13,PO-1079,ITM-006,V010,201
INB-00387,2026-06-13,PO-1345,ITM-011,V926,209
INB-00388,2026-06-12,PO-1278,ITM-022,V009,180
INB-00389,2026-06-14,PO-1083,ITM-X552,V001,77
INB-00390,2026-06-13,PO-1173,ITM-040,V022,83
INB-00391,2026-06-14,PO-1127,ITM-050,V023,38
INB-00392,2026-06-14,PO-1201,ITM-010,V022,-4
INB-00393,2026-06-13,PO-1164,ITM-060,V019,193
INB-00394,2026-06-15,PO-1345,ITM-011,V009,236
INB-00395,2026-06-12,PO-1046,ITM-022,V014,142
INB-00396,2026-06-13,PO-1207,ITM-060,V023,57
INB-00397,2026-06-13,PO-1024,ITM-069,V005,127
INB-00398,2026-06-13,PO-1140,ITM-007,V009,195
INB-00399,2026-06-15,PO-1251,ITM-009,V008,126
INB-00400,2026-06-13,PO-1168,ITM-002,V017,74
INB-00401,2026-06-14,PO-1144,ITM-007,V012,107
INB-00402,2026-06-15,PO-1144,ITM-007,V012,116
INB-00403,2026-06-12,PO-1202,ITM-076,V022,82
INB-00404,2026-06-12,PO-1044,ITM-010,V015,52
INB-00405,2026-06-14,PO-1111,ITM-026,V005,91
INB-00406,2026-06-15,PO-1026,ITM-068,V020,84
INB-00407,2026-06-12,PO-1164,ITM-060,V019,199
INB-00408,2026-06-12,PO-1182,ITM-023,V010,24
INB-00409,2026-06-15,PO-1045,ITM-070,V001,46
INB-00410,2026-06-12,PO-1291,ITM-050,V015,278
INB-00411,2026-06-15,PO-1193,ITM-049,V015,56
INB-00412,2026-06-15,PO-1206,ITM-073,V010,212
INB-00413,2026-06-13,PO-1269,ITM-002,V019,32
INB-00414,2026-06-14,PO-1046,ITM-022,V014,166
INB-00415,2026-06-14,PO-1268,ITM-003,V970,137
INB-00416,2026-06-13,PO-1304,ITM-017,V962,145
INB-00417,2026-06-14,PO-1291,ITM-050,V015,175
INB-00418,2026-06-12,PO-1182,ITM-023,V010,2
INB-00419,2026-06-12,PO-1107,ITM-057,V902,118
INB-00420,2026-06-12,PO-1057,ITM-032,V019,11
INB-00421,2026-06-15,PO-1123,ITM-063,V021,117
INB-00422,2026-06-12,PO-1079,ITM-006,V010,110
INB-00423,2026-06-13,PO-1332,ITM-065,V007,89
INB-00424,2026-06-13,PO-1182,ITM-023,V010,21
INB-00425,2026-06-14,PO-1100,ITM-065,V010,265
INB-00426,2026-06-12,PO-1028,ITM-X370,V022,168
INB-00427,2026-06-14,PO-1069,ITM-014,V018,11
INB-00428,2026-06-14,PO-1335,ITM-074,V008,171
INB-00429,2026-06-13,PO-1097,ITM-067,V018,7
INB-00430,2026-06-15,PO-1334,ITM-072,V012,95
INB-00431,2026-06-15,PO-1216,ITM-053,V011,168
INB-00432,2026-06-12,PO-1033,ITM-008,V008,46
INB-00433,2026-06-12,PO-1225,ITM-071,V005,1
INB-00434,2026-06-13,PO-1208,ITM-035,V017,-3
INB-00435,2026-06-13,PO-1204,ITM-020,V009,76
INB-00436,2026-06-13,PO-1060,ITM-034,V013,67
INB-00437,2026-06-15,PO-1219,ITM-X009,V015,2
INB-00438,2026-06-14,PO-1316,ITM-078,V005,53
INB-00439,2026-06-12,PO-1119,ITM-068,V018,109
INB-00440,2026-06-13,PO-1324,ITM-033,V909,62
INB-00441,2026-06-13,PO-1015,ITM-038,V014,50
INB-00442,2026-06-12,PO-1303,ITM-077,V001,175
INB-00443,2026-06-14,PO-1029,ITM-067,V015,48
INB-00444,2026-06-14,PO-1332,ITM-X392,V007,18
INB-00445,2026-06-13,PO-1270,ITM-064,V010,37
INB-00446,2026-06-12,PO-1078,ITM-071,V005,263
INB-00447,2026-06-12,PO-1074,ITM-043,V005,43
INB-00448,2026-06-15,PO-1201,ITM-010,V022,90
INB-00449,2026-06-13,PO-1217,ITM-014,V006,161
INB-00450,2026-06-13,PO-1011,ITM-009,V978,106
INB-00451,2026-06-15,PO-1312,ITM-067,V010,282
INB-00452,2026-06-12,PO-1191,ITM-032,V004,-4
INB-00453,2026-06-13,PO-1225,ITM-071,V005,32
INB-00454,2026-06-15,PO-1106,ITM-056,V019,90
INB-00455,2026-06-15,PO-1086,ITM-005,V016,81
INB-00456,2026-06-13,PO-1283,ITM-048,V022,64
INB-00457,2026-06-14,PO-1143,ITM-011,V016,21
INB-00458,2026-06-12,PO-1159,ITM-059,V023,32
INB-00459,2026-06-14,PO-1242,ITM-050,V022,89
INB-00460,2026-06-12,PO-1056,ITM-031,V013,39
INB-00461,2026-06-13,PO-1146,ITM-032,V007,17
