po_no,item_code,vendor_code,order_qty,order_date
PO-1069,ITM-014,V018,99,2026-06-05
PO-1070,ITM-037,V020,127,2026-06-06
PO-1071,ITM-027,V022,155,2026-06-09
PO-1072,ITM-063,V009,46,2026-06-02
PO-1073,ITM-055,V009,42,2026-06-01
PO-1074,ITM-043,V005,154,2026-06-03
PO-1075,ITM-057,V018,238,2026-06-09
PO-1076,ITM-002,V004,58,2026-06-03
PO-1077,ITM-070,V002,209,2026-06-10
PO-1078,ITM-071,V005,240,2026-06-03
PO-1079,ITM-006,V010,206,2026-06-01
PO-1080,ITM-046,V007,147,2026-06-11
PO-1081,ITM-014,V012,228,2026-06-10
PO-1082,ITM-020,V008,103,2026-06-03
PO-1083,ITM-053,V001,111,2026-06-06
PO-1084,ITM-053,V022,147,2026-06-05
PO-1085,ITM-021,V023,75,2026-06-07
PO-1086,ITM-005,V016,133,2026-06-04
PO-1087,ITM-059,V012,176,2026-06-04
PO-1088,ITM-029,V001,118,2026-06-07
PO-1089,ITM-043,V009,55,2026-06-05
PO-1090,ITM-045,V021,280,2026-06-07
PO-1091,ITM-069,V011,34,2026-06-02
PO-1092,ITM-034,V006,155,2026-06-01
PO-1093,ITM-014,V020,242,2026-06-06
PO-1094,ITM-041,V014,281,2026-06-02
PO-1095,ITM-050,V019,117,2026-06-05
PO-1096,ITM-006,V023,243,2026-06-01
PO-1097,ITM-067,V018,120,2026-06-06
PO-1098,ITM-056,V003,189,2026-06-10
PO-1099,ITM-041,V022,83,2026-06-05
PO-1100,ITM-065,V010,229,2026-06-06
PO-1101,ITM-052,V023,171,2026-06-09
PO-1102,ITM-017,V007,235,2026-06-11
PO-1103,ITM-049,V022,109,2026-06-10
PO-1104,ITM-073,V010,227,2026-06-09
PO-1105,ITM-001,V010,166,2026-06-04
PO-1106,ITM-056,V019,184,2026-06-08
PO-1107,ITM-057,V015,129,2026-06-09
PO-1108,ITM-061,V006,63,2026-06-05
PO-1109,ITM-066,V022,191,2026-06-02
PO-1110,ITM-031,V022,178,2026-06-04
PO-1111,ITM-026,V005,32,2026-06-01
PO-1112,ITM-032,V016,57,2026-06-08
PO-1113,ITM-054,V021,119,2026-06-07
PO-1114,ITM-064,V013,144,2026-06-03
PO-1115,ITM-001,V004,237,2026-06-04
PO-1116,ITM-023,V023,285,2026-06-08
PO-1117,ITM-007,V018,147,2026-06-02
PO-1118,ITM-059,V005,257,2026-06-11
PO-1119,ITM-068,V018,182,2026-06-08
PO-1120,ITM-079,V017,238,2026-06-09
PO-1121,ITM-058,V006,263,2026-06-08
PO-1122,ITM-034,V008,161,2026-06-09
PO-1123,ITM-063,V021,142,2026-06-05
PO-1124,ITM-057,V003,166,2026-06-04
PO-1125,ITM-035,V011,183,2026-06-09
PO-1126,ITM-011,V005,97,2026-06-04
PO-1127,ITM-050,V023,98,2026-06-04
PO-1128,ITM-009,V014,228,2026-06-06
PO-1129,ITM-070,V015,232,2026-06-01
PO-1130,ITM-027,V014,219,2026-06-10
PO-1131,ITM-003,V019,214,2026-06-08
PO-1132,ITM-001,V012,172,2026-06-07
PO-1133,ITM-054,V018,299,2026-06-10
PO-1134,ITM-029,V016,132,2026-06-05
PO-1135,ITM-056,V016,34,2026-06-07
PO-1136,ITM-044,V022,227,2026-06-03
PO-1137,ITM-060,V005,293,2026-06-01
PO-1138,ITM-051,V019,33,2026-06-02
PO-1139,ITM-055,V005,256,2026-06-03
PO-1140,ITM-007,V009,214,2026-06-06
PO-1141,ITM-028,V015,187,2026-06-06
PO-1142,ITM-049,V009,235,2026-06-05
PO-1143,ITM-011,V016,29,2026-06-09
PO-1144,ITM-007,V012,134,2026-06-11
PO-1145,ITM-009,V021,40,2026-06-01
PO-1146,ITM-032,V007,30,2026-06-10
PO-1147,ITM-020,V008,84,2026-06-08
PO-1148,ITM-015,V019,131,2026-06-08
PO-1149,ITM-033,V012,105,2026-06-10
PO-1150,ITM-078,V023,78,2026-06-03
PO-1151,ITM-040,V004,33,2026-06-05
PO-1152,ITM-074,V022,212,2026-06-07
PO-1153,ITM-026,V003,144,2026-06-02
PO-1154,ITM-039,V022,81,2026-06-10
PO-1155,ITM-006,V012,292,2026-06-07
PO-1156,ITM-048,V003,279,2026-06-11
PO-1157,ITM-044,V001,235,2026-06-08
PO-1158,ITM-014,V014,205,2026-06-11
PO-1159,ITM-059,V023,98,2026-06-07
PO-1160,ITM-023,V017,158,2026-06-10
PO-1161,ITM-069,V016,258,2026-06-07
PO-1162,ITM-076,V009,185,2026-06-04
PO-1163,ITM-012,V009,250,2026-06-04
PO-1164,ITM-060,V019,214,2026-06-06
PO-1165,ITM-004,V016,186,2026-06-03
PO-1166,ITM-063,V007,201,2026-06-05
PO-1167,ITM-044,V009,161,2026-06-09
PO-1168,ITM-002,V017,117,2026-06-02
PO-1169,ITM-031,V014,270,2026-06-09
PO-1170,ITM-031,V023,263,2026-06-11
PO-1171,ITM-063,V015,28,2026-06-02
PO-1172,ITM-038,V008,227,2026-06-04
PO-1173,ITM-040,V022,208,2026-06-08
PO-1174,ITM-071,V017,196,2026-06-07
PO-1175,ITM-071,V011,200,2026-06-08
PO-1176,ITM-035,V010,148,2026-06-04
PO-1177,ITM-016,V007,181,2026-06-02
PO-1178,ITM-069,V023,114,2026-06-04
PO-1179,ITM-028,V016,161,2026-06-10
PO-1180,ITM-068,V020,164,2026-06-02
PO-1181,ITM-025,V010,136,2026-06-06
PO-1182,ITM-023,V010,27,2026-06-09
PO-1183,ITM-017,V009,43,2026-06-01
PO-1184,ITM-071,V010,84,2026-06-11
PO-1185,ITM-063,V004,26,2026-06-10
PO-1186,ITM-037,V016,265,2026-06-08
PO-1187,ITM-044,V006,46,2026-06-05
PO-1188,ITM-062,V004,53,2026-06-07
PO-1189,ITM-063,V003,47,2026-06-03
PO-1190,ITM-020,V019,175,2026-06-02
PO-1191,ITM-032,V004,233,2026-06-10
PO-1192,ITM-077,V020,135,2026-06-09
PO-1193,ITM-049,V015,246,2026-06-05
PO-1194,ITM-076,V014,176,2026-06-10
PO-1195,ITM-080,V002,70,2026-06-04
PO-1196,ITM-028,V009,61,2026-06-03
PO-1197,ITM-031,V006,58,2026-06-03
PO-1198,ITM-001,V014,250,2026-06-10
PO-1199,ITM-061,V010,36,2026-06-04
PO-1200,ITM-037,V023,164,2026-06-08
PO-1201,ITM-010,V022,139,2026-06-05
PO-1202,ITM-076,V022,121,2026-06-07
PO-1203,ITM-015,V018,135,2026-06-11
PO-1204,ITM-020,V009,92,2026-06-02
PO-1205,ITM-008,V006,177,2026-06-10
PO-1206,ITM-073,V010,244,2026-06-02
PO-1207,ITM-060,V023,175,2026-06-07
PO-1208,ITM-035,V017,296,2026-06-08
PO-1209,ITM-057,V003,40,2026-06-07
PO-1210,ITM-042,V020,148,2026-06-01
PO-1211,ITM-012,V008,30,2026-06-11
PO-1212,ITM-035,V019,40,2026-06-03
PO-1213,ITM-061,V017,246,2026-06-05
PO-1214,ITM-024,V019,243,2026-06-11
PO-1215,ITM-063,V003,260,2026-06-06
PO-1216,ITM-053,V011,184,2026-06-11
PO-1217,ITM-014,V006,188,2026-06-07
PO-1218,ITM-064,V010,225,2026-06-09
PO-1219,ITM-005,V015,65,2026-06-06
PO-1220,ITM-033,V011,79,2026-06-07
PO-1221,ITM-066,V001,297,2026-06-08
PO-1222,ITM-053,V002,116,2026-06-09
PO-1223,ITM-047,V020,275,2026-06-11
PO-1224,ITM-057,V002,124,2026-06-05
PO-1225,ITM-071,V005,167,2026-06-08
PO-1226,ITM-063,V004,34,2026-06-11
PO-1227,ITM-078,V008,101,2026-06-05
PO-1228,ITM-071,V001,228,2026-06-02
PO-1229,ITM-029,V004,256,2026-06-02
PO-1230,ITM-020,V016,169,2026-06-09
PO-1231,ITM-035,V014,267,2026-06-08
PO-1232,ITM-032,V015,94,2026-06-07
PO-1233,ITM-025,V020,280,2026-06-03
PO-1234,ITM-009,V009,232,2026-06-06
PO-1235,ITM-065,V009,21,2026-06-05
PO-1236,ITM-039,V019,270,2026-06-03
PO-1237,ITM-058,V018,267,2026-06-06
PO-1238,ITM-043,V018,298,2026-06-07
PO-1239,ITM-059,V011,116,2026-06-04
PO-1240,ITM-074,V013,139,2026-06-07
PO-1241,ITM-006,V011,262,2026-06-07
PO-1242,ITM-050,V022,97,2026-06-08
PO-1243,ITM-005,V005,277,2026-06-10
PO-1244,ITM-043,V004,245,2026-06-02
PO-1245,ITM-068,V015,27,2026-06-03
PO-1246,ITM-053,V021,99,2026-06-02
PO-1247,ITM-061,V009,193,2026-06-10
PO-1248,ITM-051,V021,61,2026-06-06
PO-1249,ITM-069,V013,182,2026-06-11
PO-1250,ITM-063,V018,38,2026-06-10
PO-1251,ITM-009,V008,167,2026-06-04
PO-1252,ITM-012,V014,70,2026-06-11
PO-1253,ITM-013,V015,105,2026-06-05
PO-1254,ITM-004,V002,186,2026-06-01
PO-1255,ITM-038,V012,211,2026-06-07
PO-1256,ITM-019,V008,291,2026-06-07
PO-1257,ITM-073,V022,112,2026-06-03
PO-1258,ITM-023,V003,215,2026-06-10
PO-1259,ITM-031,V016,93,2026-06-04
PO-1260,ITM-060,V021,150,2026-06-08
PO-1261,ITM-033,V022,24,2026-06-08
PO-1262,ITM-037,V022,299,2026-06-03
PO-1263,ITM-010,V015,196,2026-06-10
PO-1264,ITM-039,V021,237,2026-06-05
PO-1265,ITM-059,V010,121,2026-06-07
PO-1266,ITM-062,V004,141,2026-06-07
PO-1267,ITM-074,V012,171,2026-06-05
PO-1268,ITM-003,V022,222,2026-06-05
PO-1269,ITM-002,V019,45,2026-06-10
PO-1270,ITM-064,V010,137,2026-06-10
PO-1271,ITM-046,V008,117,2026-06-10
PO-1272,ITM-033,V022,90,2026-06-11
PO-1273,ITM-013,V021,40,2026-06-05
PO-1274,ITM-057,V002,206,2026-06-03
PO-1275,ITM-012,V010,187,2026-06-07
PO-1276,ITM-023,V007,87,2026-06-09
PO-1277,ITM-047,V017,276,2026-06-05
PO-1278,ITM-022,V009,266,2026-06-05
PO-1279,ITM-044,V004,259,2026-06-02
PO-1280,ITM-019,V008,223,2026-06-09
PO-1281,ITM-047,V003,222,2026-06-01
PO-1282,ITM-034,V018,83,2026-06-08
PO-1283,ITM-048,V022,154,2026-06-10
PO-1284,ITM-049,V021,210,2026-06-02
PO-1285,ITM-030,V016,32,2026-06-10
PO-1286,ITM-072,V011,133,2026-06-11
PO-1287,ITM-009,V021,257,2026-06-05
PO-1288,ITM-053,V004,91,2026-06-01
PO-1289,ITM-005,V010,272,2026-06-02
PO-1290,ITM-013,V008,295,2026-06-03
PO-1291,ITM-050,V015,209,2026-06-11
PO-1292,ITM-070,V014,99,2026-06-07
PO-1293,ITM-013,V016,228,2026-06-05
PO-1294,ITM-005,V023,209,2026-06-04
PO-1295,ITM-057,V015,140,2026-06-06
PO-1296,ITM-013,V022,208,2026-06-09
PO-1297,ITM-046,V002,223,2026-06-05
PO-1298,ITM-025,V004,252,2026-06-02
PO-1299,ITM-028,V021,30,2026-06-01
PO-1300,ITM-043,V008,84,2026-06-10
PO-1301,ITM-027,V003,126,2026-06-10
PO-1302,ITM-028,V008,188,2026-06-03
PO-1303,ITM-077,V001,161,2026-06-03
PO-1304,ITM-017,V018,148,2026-06-03
PO-1305,ITM-015,V022,33,2026-06-03
PO-1306,ITM-002,V012,141,2026-06-10
PO-1307,ITM-042,V001,109,2026-06-05
PO-1308,ITM-007,V005,235,2026-06-09
PO-1309,ITM-015,V003,263,2026-06-08
PO-1310,ITM-047,V017,75,2026-06-08
PO-1311,ITM-065,V008,42,2026-06-11
PO-1312,ITM-067,V010,254,2026-06-11
PO-1313,ITM-004,V002,265,2026-06-07
PO-1314,ITM-055,V022,75,2026-06-08
PO-1315,ITM-057,V003,61,2026-06-06
PO-1316,ITM-078,V005,53,2026-06-03
PO-1317,ITM-036,V020,300,2026-06-06
PO-1318,ITM-049,V020,291,2026-06-05
PO-1319,ITM-059,V017,240,2026-06-02
PO-1320,ITM-015,V021,130,2026-06-07
PO-1321,ITM-058,V008,231,2026-06-06
PO-1322,ITM-059,V013,232,2026-06-02
PO-1323,ITM-041,V014,180,2026-06-11
PO-1324,ITM-033,V012,98,2026-06-11
PO-1325,ITM-061,V003,66,2026-06-02
PO-1326,ITM-012,V014,69,2026-06-06
PO-1327,ITM-017,V018,50,2026-06-10
PO-1328,ITM-072,V018,188,2026-06-11
PO-1329,ITM-016,V014,201,2026-06-11
PO-1330,ITM-055,V002,167,2026-06-10
PO-1331,ITM-040,V012,73,2026-06-10
PO-1332,ITM-065,V007,99,2026-06-11
PO-1333,ITM-062,V008,75,2026-06-06
PO-1334,ITM-072,V012,78,2026-06-05
PO-1335,ITM-074,V008,239,2026-06-09
PO-1336,ITM-080,V020,33,2026-06-10
PO-1337,ITM-035,V001,112,2026-06-05
PO-1338,ITM-040,V011,199,2026-06-01
PO-1339,ITM-024,V005,225,2026-06-02
PO-1340,ITM-019,V021,35,2026-06-02
PO-1341,ITM-068,V007,212,2026-06-07
PO-1342,ITM-059,V011,100,2026-06-06
PO-1343,ITM-040,V011,63,2026-06-01
PO-1344,ITM-020,V006,45,2026-06-11
PO-1345,ITM-011,V009,246,2026-06-11
PO-1346,ITM-055,V016,246,2026-06-07
PO-1347,ITM-035,V007,282,2026-06-02
PO-1348,ITM-045,V014,76,2026-06-05
PO-1349,ITM-076,V016,289,2026-06-11
PO-1350,ITM-040,V002,132,2026-06-07
